barcode	partecipant	clust5	clust5.col	clust5.explanatory	clust5bis	clust5bis.col	clust5bis.explanatory
TCGA-S9-A6U0-01A-12R-A32Q-07	TCGA-S9-A6U0	c51	red	c51_IDHwt	c51	red2	c51_IDHwt
TCGA-QH-A6XC-01A-12R-A32Q-07	TCGA-QH-A6XC	c52	cyan	c52	c52	cyan	c52
TCGA-IK-8125-01A-11R-2256-07	TCGA-IK-8125	c53	sienna1	c53_codel	c531	darkseagreen	c531_O2
TCGA-DB-A4XA-01A-11R-A26U-07	TCGA-DB-A4XA	c53	sienna1	c53_codel	c532	sienna1	c532_O3
TCGA-S9-A7IX-01A-12R-A34F-07	TCGA-S9-A7IX	c51	red	c51_IDHwt	c51	red2	c51_IDHwt
TCGA-S9-A7J3-01A-21R-A34R-07	TCGA-S9-A7J3	c53	sienna1	c53_codel	c532	sienna1	c532_O3
TCGA-HT-7688-01A-11R-2256-07	TCGA-HT-7688	c52	cyan	c52	c52	cyan	c52
TCGA-E1-A7YE-01A-11R-A34F-07	TCGA-E1-A7YE	c54	blue	c54_nonCodel-pp	c541	blue	c541_G-Cimp-high
TCGA-S9-A7IY-01A-11R-A34F-07	TCGA-S9-A7IY	c53	sienna1	c53_codel	c532	sienna1	c532_O3
TCGA-HW-A5KM-01A-11R-A27Q-07	TCGA-HW-A5KM	c54	blue	c54_nonCodel-pp	c541	blue	c541_G-Cimp-high
TCGA-DU-6542-01A-11R-1896-07	TCGA-DU-6542	c54	blue	c54_nonCodel-pp	c541	blue	c541_G-Cimp-high
TCGA-CS-6290-01A-11R-1708-07	TCGA-CS-6290	c55	magenta	c55_nonCodel-gp	c55	magenta	c55_nonCodel-gp
TCGA-DU-A6S7-01A-21R-A32Q-07	TCGA-DU-A6S7	c54	blue	c54_nonCodel-pp	c541	blue	c541_G-Cimp-high
TCGA-E1-5318-01A-01R-1470-07	TCGA-E1-5318	c53	sienna1	c53_codel	c533	steelblue	c533_O1
TCGA-CS-5393-01A-01R-1470-07	TCGA-CS-5393	c54	blue	c54_nonCodel-pp	c541	blue	c541_G-Cimp-high
TCGA-S9-A7QW-01A-11R-A34F-07	TCGA-S9-A7QW	c54	blue	c54_nonCodel-pp	c541	blue	c541_G-Cimp-high
TCGA-CS-5394-01A-01R-1470-07	TCGA-CS-5394	c53	sienna1	c53_codel	c533	steelblue	c533_O1
TCGA-FG-A70Y-01A-12R-A34R-07	TCGA-FG-A70Y	c55	magenta	c55_nonCodel-gp	c55	magenta	c55_nonCodel-gp
TCGA-HT-8114-01A-11R-2404-07	TCGA-HT-8114	c54	blue	c54_nonCodel-pp	c541	blue	c541_G-Cimp-high
TCGA-WY-A85C-01A-11R-A36H-07	TCGA-WY-A85C	c54	blue	c54_nonCodel-pp	c541	blue	c541_G-Cimp-high
TCGA-TQ-A7RV-01A-21R-A34F-07	TCGA-TQ-A7RV	c54	blue	c54_nonCodel-pp	c541	blue	c541_G-Cimp-high
TCGA-TM-A7C5-01A-11R-A32Q-07	TCGA-TM-A7C5	c53	sienna1	c53_codel	c533	steelblue	c533_O1
TCGA-HT-A4DS-01A-11R-A26U-07	TCGA-HT-A4DS	c55	magenta	c55_nonCodel-gp	c55	magenta	c55_nonCodel-gp
TCGA-DB-5274-01A-01R-1470-07	TCGA-DB-5274	c55	magenta	c55_nonCodel-gp	c55	magenta	c55_nonCodel-gp
TCGA-TM-A84H-01A-11R-A36H-07	TCGA-TM-A84H	c54	blue	c54_nonCodel-pp	c541	blue	c541_G-Cimp-high
TCGA-HT-7856-01A-11R-2403-07	TCGA-HT-7856	c52	cyan	c52	c52	cyan	c52
TCGA-DH-A7UV-01A-12R-A34F-07	TCGA-DH-A7UV	c55	magenta	c55_nonCodel-gp	c55	magenta	c55_nonCodel-gp
TCGA-E1-A7Z2-01A-21R-A34R-07	TCGA-E1-A7Z2	c52	cyan	c52	c52	cyan	c52
TCGA-TM-A7C4-01A-11R-A32Q-07	TCGA-TM-A7C4	c52	cyan	c52	c52	cyan	c52
TCGA-DU-5847-01A-11R-1708-07	TCGA-DU-5847	c51	red	c51_IDHwt	c51	red2	c51_IDHwt
TCGA-DH-A7UU-01A-12R-A34F-07	TCGA-DH-A7UU	c54	blue	c54_nonCodel-pp	c542	gold	c542_G-Cimp-low
TCGA-P5-A781-01A-11R-A32Q-07	TCGA-P5-A781	c53	sienna1	c53_codel	c532	sienna1	c532_O3
TCGA-TM-A84I-01A-11R-A36H-07	TCGA-TM-A84I	c54	blue	c54_nonCodel-pp	c542	gold	c542_G-Cimp-low
TCGA-QH-A6X9-01A-12R-A32Q-07	TCGA-QH-A6X9	c54	blue	c54_nonCodel-pp	c541	blue	c541_G-Cimp-high
TCGA-DH-A66G-01A-21R-A31N-07	TCGA-DH-A66G	c54	blue	c54_nonCodel-pp	c541	blue	c541_G-Cimp-high
TCGA-DB-A64O-01A-11R-A29R-07	TCGA-DB-A64O	c51	red	c51_IDHwt	c51	red2	c51_IDHwt
TCGA-HT-7602-01A-21R-2090-07	TCGA-HT-7602	c55	magenta	c55_nonCodel-gp	c55	magenta	c55_nonCodel-gp
TCGA-FG-8182-01A-11R-2256-07	TCGA-FG-8182	c54	blue	c54_nonCodel-pp	c541	blue	c541_G-Cimp-high
TCGA-RY-A83Y-01A-11R-A36H-07	TCGA-RY-A83Y	c55	magenta	c55_nonCodel-gp	c55	magenta	c55_nonCodel-gp
TCGA-TM-A84L-01A-11R-A36H-07	TCGA-TM-A84L	c55	magenta	c55_nonCodel-gp	c55	magenta	c55_nonCodel-gp
TCGA-P5-A5ET-01A-11R-A27Q-07	TCGA-P5-A5ET	c53	sienna1	c53_codel	c532	sienna1	c532_O3
TCGA-DH-A66D-01A-11R-A31N-07	TCGA-DH-A66D	c54	blue	c54_nonCodel-pp	c541	blue	c541_G-Cimp-high
TCGA-DH-A7UT-01A-12R-A34F-07	TCGA-DH-A7UT	c55	magenta	c55_nonCodel-gp	c55	magenta	c55_nonCodel-gp
TCGA-DU-7018-01A-11R-2027-07	TCGA-DU-7018	c53	sienna1	c53_codel	c533	steelblue	c533_O1
TCGA-TQ-A7RI-01A-11R-A33Z-07	TCGA-TQ-A7RI	c53	sienna1	c53_codel	c532	sienna1	c532_O3
TCGA-FG-8185-01A-11R-2256-07	TCGA-FG-8185	c54	blue	c54_nonCodel-pp	c541	blue	c541_G-Cimp-high
TCGA-HT-7604-01A-11R-2090-07	TCGA-HT-7604	c54	blue	c54_nonCodel-pp	c541	blue	c541_G-Cimp-high
TCGA-FG-A60K-01A-11R-A29R-07	TCGA-FG-A60K	c53	sienna1	c53_codel	c532	sienna1	c532_O3
TCGA-E1-A7Z3-01A-11R-A34R-07	TCGA-E1-A7Z3	c52	cyan	c52	c52	cyan	c52
TCGA-HT-7475-01A-11R-2027-07	TCGA-HT-7475	c52	cyan	c52	c52	cyan	c52
TCGA-WY-A85E-01A-11R-A36H-07	TCGA-WY-A85E	c54	blue	c54_nonCodel-pp	c541	blue	c541_G-Cimp-high
TCGA-HT-7474-01A-11R-2027-07	TCGA-HT-7474	c52	cyan	c52	c52	cyan	c52
TCGA-QH-A86X-01A-11R-A36H-07	TCGA-QH-A86X	c53	sienna1	c53_codel	c532	sienna1	c532_O3
TCGA-HT-7857-01A-11R-2403-07	TCGA-HT-7857	c51	red	c51_IDHwt	c51	red2	c51_IDHwt
TCGA-S9-A7R3-01A-11R-A34R-07	TCGA-S9-A7R3	c55	magenta	c55_nonCodel-gp	c55	magenta	c55_nonCodel-gp
TCGA-QH-A6X3-01A-21R-A32Q-07	TCGA-QH-A6X3	c54	blue	c54_nonCodel-pp	c541	blue	c541_G-Cimp-high
TCGA-VM-A8CF-01A-11R-A36H-07	TCGA-VM-A8CF	c55	magenta	c55_nonCodel-gp	c55	magenta	c55_nonCodel-gp
TCGA-FG-A4MT-01A-11R-A26U-07	TCGA-FG-A4MT	c54	blue	c54_nonCodel-pp	c541	blue	c541_G-Cimp-high
TCGA-QH-A6CX-01A-11R-A32Q-07	TCGA-QH-A6CX	c51	red	c51_IDHwt	c51	red2	c51_IDHwt
TCGA-DB-A4XD-01A-11R-A27Q-07	TCGA-DB-A4XD	c54	blue	c54_nonCodel-pp	c541	blue	c541_G-Cimp-high
TCGA-TM-A84T-01A-11R-A36H-07	TCGA-TM-A84T	c54	blue	c54_nonCodel-pp	c541	blue	c541_G-Cimp-high
TCGA-TM-A84M-01A-11R-A36H-07	TCGA-TM-A84M	c53	sienna1	c53_codel	c533	steelblue	c533_O1
TCGA-CS-6667-01A-12R-2027-07	TCGA-CS-6667	c54	blue	c54_nonCodel-pp	c541	blue	c541_G-Cimp-high
TCGA-DH-5142-01A-01R-1470-07	TCGA-DH-5142	c54	blue	c54_nonCodel-pp	c541	blue	c541_G-Cimp-high
TCGA-S9-A6U1-01A-21R-A33Z-07	TCGA-S9-A6U1	c54	blue	c54_nonCodel-pp	c541	blue	c541_G-Cimp-high
TCGA-QH-A6CU-01A-11R-A31N-07	TCGA-QH-A6CU	c55	magenta	c55_nonCodel-gp	c55	magenta	c55_nonCodel-gp
TCGA-E1-A7YJ-01A-11R-A34F-07	TCGA-E1-A7YJ	c51	red	c51_IDHwt	c51	red2	c51_IDHwt
TCGA-DU-7008-01A-11R-2027-07	TCGA-DU-7008	c54	blue	c54_nonCodel-pp	c541	blue	c541_G-Cimp-high
TCGA-HT-8015-01B-11R-A28M-07	TCGA-HT-8015	c52	cyan	c52	c52	cyan	c52
TCGA-HT-7606-01A-11R-2090-07	TCGA-HT-7606	c54	blue	c54_nonCodel-pp	c542	gold	c542_G-Cimp-low
TCGA-DU-8167-01A-11R-2256-07	TCGA-DU-8167	c55	magenta	c55_nonCodel-gp	c55	magenta	c55_nonCodel-gp
TCGA-HT-7691-01A-11R-2256-07	TCGA-HT-7691	c51	red	c51_IDHwt	c51	red2	c51_IDHwt
TCGA-QH-A6X5-01A-12R-A32Q-07	TCGA-QH-A6X5	c55	magenta	c55_nonCodel-gp	c55	magenta	c55_nonCodel-gp
