hgnc_symbol	ensembl_gene_id	chromosome_name	feature	included
UBE2Q2P2	ENSG00000259429	15	?|100134869	FALSE
SSX9	ENSG00000204648	X	?|280660	FALSE
EFCAB12	ENSG00000172771	3	?|90288	FALSE
A1BG	ENSG00000121410	19	A1BG|1	FALSE
A1CF	ENSG00000148584	10	A1CF|29974	FALSE
RBFOX1	ENSG00000078328	16	A2BP1|54715	TRUE
GGACT	ENSG00000134864	13	A2LD1|87769	FALSE
A2ML1	ENSG00000166535	12	A2ML1|144568	TRUE
A2M	ENSG00000175899	12	A2M|2	FALSE
A4GALT	ENSG00000128274	22	A4GALT|53947	FALSE
A4GNT	ENSG00000118017	3	A4GNT|51146	FALSE
NPSR1-AS1	ENSG00000197085	7	AAA1|404744	FALSE
AAAS	ENSG00000094914	12	AAAS|8086	TRUE
AACSP1	ENSG00000250420	5	AACSL|729522	FALSE
AACS	ENSG00000081760	12	AACS|65985	TRUE
AADACL2	ENSG00000197953	3	AADACL2|344752	FALSE
AADACL3	ENSG00000188984	1	AADACL3|126767	FALSE
AADACL4	ENSG00000204518	1	AADACL4|343066	FALSE
AADAC	ENSG00000114771	3	AADAC|13	FALSE
AADAT	ENSG00000109576	4	AADAT|51166	FALSE
AAGAB	ENSG00000103591	15	AAGAB|79719	TRUE
AAK1	ENSG00000115977	2	AAK1|22848	TRUE
AAMP	ENSG00000127837	2	AAMP|14	TRUE
AANAT	ENSG00000129673	17	AANAT|15	FALSE
AARS2	ENSG00000124608	6	AARS2|57505	TRUE
AARSD1	ENSG00000266967	17	AARSD1|80755	TRUE
AARS	ENSG00000090861	16	AARS|16	TRUE
AASDHPPT	ENSG00000149313	11	AASDHPPT|60496	TRUE
AASDH	ENSG00000157426	4	AASDH|132949	TRUE
AASS	ENSG00000008311	7	AASS|10157	TRUE
AATF	ENSG00000275700	17	AATF|26574	TRUE
AATK	ENSG00000181409	17	AATK|9625	TRUE
ABAT	ENSG00000183044	16	ABAT|18	TRUE
ABCA10	ENSG00000154263	17	ABCA10|10349	FALSE
ABCA11P	ENSG00000251595	4	ABCA11P|79963	FALSE
ABCA12	ENSG00000144452	2	ABCA12|26154	FALSE
ABCA13	ENSG00000179869	7	ABCA13|154664	FALSE
ABCA17P	ENSG00000238098	16	ABCA17P|650655	FALSE
ABCA1	ENSG00000165029	9	ABCA1|19	TRUE
ABCA2	ENSG00000107331	9	ABCA2|20	TRUE
ABCA3	ENSG00000167972	16	ABCA3|21	TRUE
ABCA4	ENSG00000198691	1	ABCA4|24	FALSE
ABCA5	ENSG00000154265	17	ABCA5|23461	TRUE
ABCA6	ENSG00000154262	17	ABCA6|23460	FALSE
ABCA7	ENSG00000064687	19	ABCA7|10347	TRUE
ABCA8	ENSG00000141338	17	ABCA8|10351	TRUE
ABCA9	ENSG00000154258	17	ABCA9|10350	FALSE
ABCB10	ENSG00000135776	1	ABCB10|23456	FALSE
ABCB11	ENSG00000073734	2	ABCB11|8647	FALSE
ABCB1	ENSG00000085563	7	ABCB1|5243	TRUE
ABCB4	ENSG00000005471	7	ABCB4|5244	FALSE
ABCB5	ENSG00000004846	7	ABCB5|340273	FALSE
ABCB6	ENSG00000115657	2	ABCB6|10058	TRUE
ABCB7	ENSG00000131269	X	ABCB7|22	TRUE
ABCB8	ENSG00000197150	7	ABCB8|11194	TRUE
ABCB9	ENSG00000150967	12	ABCB9|23457	TRUE
ABCC10	ENSG00000124574	6	ABCC10|89845	TRUE
ABCC11	ENSG00000121270	16	ABCC11|85320	FALSE
ABCC12	ENSG00000140798	16	ABCC12|94160	FALSE
ABCC13	ENSG00000243064	21	ABCC13|150000	FALSE
ABCC1	ENSG00000103222	16	ABCC1|4363	TRUE
ABCC2	ENSG00000023839	10	ABCC2|1244	FALSE
ABCC3	ENSG00000108846	17	ABCC3|8714	TRUE
ABCC4	ENSG00000125257	13	ABCC4|10257	TRUE
ABCC5	ENSG00000114770	3	ABCC5|10057	TRUE
ABCC6P2	ENSG00000255277	16	ABCC6P2|730013	FALSE
368	ENSG00000091262	16	ABCC6|368	FALSE
ABCC8	ENSG00000006071	11	ABCC8|6833	TRUE
ABCC9	ENSG00000069431	12	ABCC9|10060	TRUE
ABCD1	ENSG00000101986	X	ABCD1|215	FALSE
ABCD2	ENSG00000173208	12	ABCD2|225	TRUE
ABCD3	ENSG00000117528	1	ABCD3|5825	TRUE
ABCD4	ENSG00000119688	14	ABCD4|5826	TRUE
ABCE1	ENSG00000164163	4	ABCE1|6059	TRUE
ABCF2	ENSG00000033050	7	ABCF2|10061	TRUE
ABCF3	ENSG00000161204	3	ABCF3|55324	TRUE
ABCG1	ENSG00000160179	21	ABCG1|9619	TRUE
ABCG2	ENSG00000118777	4	ABCG2|9429	TRUE
ABCG4	ENSG00000172350	11	ABCG4|64137	FALSE
ABCG5	ENSG00000138075	2	ABCG5|64240	FALSE
ABCG8	ENSG00000143921	2	ABCG8|64241	FALSE
ABHD10	ENSG00000144827	3	ABHD10|55347	TRUE
ABHD11	ENSG00000106077	7	ABHD11|83451	FALSE
ABHD12B	ENSG00000131969	14	ABHD12B|145447	FALSE
ABHD12	ENSG00000100997	20	ABHD12|26090	TRUE
ABHD13	ENSG00000139826	13	ABHD13|84945	TRUE
ABHD14A	ENSG00000248487	3	ABHD14A|25864	TRUE
ABHD14B	ENSG00000114779	3	ABHD14B|84836	TRUE
ABHD15	ENSG00000168792	17	ABHD15|116236	FALSE
ABHD1	ENSG00000143994	2	ABHD1|84696	FALSE
ABHD2	ENSG00000140526	15	ABHD2|11057	TRUE
ABHD3	ENSG00000158201	18	ABHD3|171586	TRUE
ABHD4	ENSG00000100439	14	ABHD4|63874	TRUE
ABHD5	ENSG00000011198	3	ABHD5|51099	TRUE
ABHD6	ENSG00000163686	3	ABHD6|57406	TRUE
ABHD8	ENSG00000127220	19	ABHD8|79575	TRUE
ABI1	ENSG00000136754	10	ABI1|10006	TRUE
ABI2	ENSG00000138443	2	ABI2|10152	TRUE
ABI3BP	ENSG00000154175	3	ABI3BP|25890	TRUE
ABI3	ENSG00000108798	17	ABI3|51225	TRUE
ABL1	ENSG00000097007	9	ABL1|25	TRUE
ABL2	ENSG00000143322	1	ABL2|27	TRUE
ABLIM1	ENSG00000099204	10	ABLIM1|3983	TRUE
ABLIM2	ENSG00000163995	4	ABLIM2|84448	TRUE
ABLIM3	ENSG00000173210	5	ABLIM3|22885	TRUE
ABO	ENSG00000175164	9	ABO|28	FALSE
AOC1	ENSG00000002726	7	ABP1|26	FALSE
ABRA	ENSG00000174429	8	ABRA|137735	FALSE
ABR	ENSG00000159842	17	ABR|29	TRUE
ABT1	ENSG00000146109	6	ABT1|29777	TRUE
ABTB1	ENSG00000114626	3	ABTB1|80325	TRUE
ABTB2	ENSG00000166016	11	ABTB2|25841	TRUE
ACAA1	ENSG00000060971	3	ACAA1|30	TRUE
ACAA2	ENSG00000167315	18	ACAA2|10449	TRUE
ACACA	ENSG00000278540	17	ACACA|31	TRUE
ACACB	ENSG00000076555	12	ACACB|32	TRUE
ACAD10	ENSG00000111271	12	ACAD10|80724	TRUE
ACAD11	ENSG00000240303	3	ACAD11|84129	TRUE
ACAD8	ENSG00000151498	11	ACAD8|27034	TRUE
ACAD9	ENSG00000177646	3	ACAD9|28976	TRUE
ACADL	ENSG00000115361	2	ACADL|33	FALSE
ACADM	ENSG00000117054	1	ACADM|34	TRUE
ACADSB	ENSG00000196177	10	ACADSB|36	TRUE
ACADS	ENSG00000122971	12	ACADS|35	TRUE
ACADVL	ENSG00000072778	17	ACADVL|37	TRUE
ACAN	ENSG00000157766	15	ACAN|176	TRUE
ACAP1	ENSG00000072818	17	ACAP1|9744	FALSE
ACAP2	ENSG00000114331	3	ACAP2|23527	TRUE
ACAP3	ENSG00000131584	1	ACAP3|116983	TRUE
ACAT1	ENSG00000075239	11	ACAT1|38	TRUE
ACAT2	ENSG00000120437	6	ACAT2|39	TRUE
ACBD3	ENSG00000182827	1	ACBD3|64746	TRUE
ACBD4	ENSG00000181513	17	ACBD4|79777	TRUE
ACBD5	ENSG00000107897	10	ACBD5|91452	TRUE
84320	ENSG00000230124	1	ACBD6|84320	TRUE
ACBD7	ENSG00000176244	10	ACBD7|414149	TRUE
ASIC2	ENSG00000108684	17	ACCN1|40	FALSE
ASIC1	ENSG00000110881	12	ACCN2|41	TRUE
ASIC3	ENSG00000213199	7	ACCN3|9311	FALSE
ASIC4	ENSG00000072182	2	ACCN4|55515	TRUE
ASIC5	ENSG00000256394	4	ACCN5|51802	FALSE
ACCSL	ENSG00000205126	11	ACCSL|390110	FALSE
ACCS	ENSG00000110455	11	ACCS|84680	FALSE
ACD	ENSG00000102977	16	ACD|65057	TRUE
ACE2	ENSG00000130234	X	ACE2|59272	FALSE
ACER1	ENSG00000167769	19	ACER1|125981	FALSE
ACER2	ENSG00000177076	9	ACER2|340485	FALSE
ACER3	ENSG00000078124	11	ACER3|55331	TRUE
ACE	ENSG00000159640	17	ACE|1636	TRUE
ACHE	ENSG00000087085	7	ACHE|43	TRUE
ACIN1	ENSG00000100813	14	ACIN1|22985	TRUE
ACLY	ENSG00000131473	17	ACLY|47	TRUE
ACMSD	ENSG00000153086	2	ACMSD|130013	FALSE
SDHAF3	ENSG00000196636	7	ACN9|57001	TRUE
ACO1	ENSG00000122729	9	ACO1|48	TRUE
ACO2	ENSG00000100412	22	ACO2|50	TRUE
ACOT11	ENSG00000162390	1	ACOT11|26027	FALSE
ACOT12	ENSG00000172497	5	ACOT12|134526	FALSE
ACOT13	ENSG00000112304	6	ACOT13|55856	TRUE
ACOT1	ENSG00000184227	14	ACOT1|641371	TRUE
ACOT2	ENSG00000119673	14	ACOT2|10965	FALSE
ACOT4	ENSG00000177465	14	ACOT4|122970	FALSE
ACOT6	ENSG00000205669	14	ACOT6|641372	FALSE
ACOT7	ENSG00000097021	1	ACOT7|11332	TRUE
ACOT8	ENSG00000101473	20	ACOT8|10005	TRUE
ACOT9	ENSG00000123130	X	ACOT9|23597	TRUE
ACOX1	ENSG00000161533	17	ACOX1|51	TRUE
ACOX2	ENSG00000168306	3	ACOX2|8309	FALSE
ACOX3	ENSG00000087008	4	ACOX3|8310	TRUE
ACOXL	ENSG00000153093	2	ACOXL|55289	FALSE
ACP1	ENSG00000143727	2	ACP1|52	TRUE
ACP2	ENSG00000134575	11	ACP2|53	TRUE
ACP5	ENSG00000102575	19	ACP5|54	FALSE
ACP6	ENSG00000162836	1	ACP6|51205	FALSE
PXYLP1	ENSG00000155893	3	ACPL2|92370	TRUE
ACPP	ENSG00000014257	3	ACPP|55	FALSE
ACPT	ENSG00000142513	19	ACPT|93650	FALSE
ACRBP	ENSG00000111644	12	ACRBP|84519	FALSE
ACRC	ENSG00000147174	X	ACRC|93953	FALSE
ACRV1	ENSG00000134940	11	ACRV1|56	FALSE
ACR	ENSG00000100312	22	ACR|49	FALSE
ACSBG1	ENSG00000103740	15	ACSBG1|23205	TRUE
ACSBG2	ENSG00000130377	19	ACSBG2|81616	FALSE
ACSF2	ENSG00000167107	17	ACSF2|80221	TRUE
ACSF3	ENSG00000176715	16	ACSF3|197322	TRUE
ACSL1	ENSG00000151726	4	ACSL1|2180	TRUE
ACSL3	ENSG00000123983	2	ACSL3|2181	TRUE
ACSL4	ENSG00000068366	X	ACSL4|2182	TRUE
ACSL5	ENSG00000197142	10	ACSL5|51703	FALSE
ACSL6	ENSG00000164398	5	ACSL6|23305	TRUE
ACSM1	ENSG00000166743	16	ACSM1|116285	FALSE
ACSM2A	ENSG00000183747	16	ACSM2A|123876	FALSE
ACSM2B	ENSG00000066813	16	ACSM2B|348158	FALSE
ACSM3	ENSG00000005187	16	ACSM3|6296	FALSE
ACSM4	ENSG00000215009	12	ACSM4|341392	FALSE
ACSM5	ENSG00000183549	16	ACSM5|54988	TRUE
ACSS1	ENSG00000154930	20	ACSS1|84532	TRUE
ACSS2	ENSG00000131069	20	ACSS2|55902	TRUE
ACSS3	ENSG00000111058	12	ACSS3|79611	TRUE
ACTA1	ENSG00000143632	1	ACTA1|58	FALSE
ACTA2	ENSG00000107796	10	ACTA2|59	TRUE
ACTBL2	ENSG00000169067	5	ACTBL2|345651	FALSE
ACTB	ENSG00000075624	7	ACTB|60	FALSE
ACTC1	ENSG00000159251	15	ACTC1|70	FALSE
ACTG1	ENSG00000184009	17	ACTG1|71	FALSE
