EntrezID	Symbol	GeneLength
29974	A1CF	2511
2	A2M	8153
144568	A2ML1	7492
3	A2MP1	1741
53947	A4GALT	3184
51146	A4GNT	1771
100329167	AAA1	7197
8086	AAAS	4614
65985	AACS	13098
13	AADAC	3106
344752	AADACL2	5068
126767	AADACL3	4048
343066	AADACL4	1575
51166	AADAT	4421
79719	AAGAB	9301
22848	AAK1	29584
14	AAMP	3512
15	AANAT	3072
16	AARS	5700
57505	AARS2	6783
80755	AARSD1	8223
132949	AASDH	7844
60496	AASDHPPT	6695
10157	AASS	8664
26574	AATF	2710
9625	AATK	6881
18	ABAT	10823
19	ABCA1	15209
26154	ABCA12	9494
154664	ABCA13	21159
650655	ABCA17P	7452
20	ABCA2	11850
21	ABCA3	8649
24	ABCA4	11471
23461	ABCA5	15223
10347	ABCA7	8468
10351	ABCA8	10517
5243	ABCB1	6500
23456	ABCB10	5004
56476	ABCB10P1	439
728248	ABCB10P3	439
100132289	ABCB10P4	439
8647	ABCB11	7851
5244	ABCB4	8375
340273	ABCB5	14661
22	ABCB7	9928
23457	ABCB9	8726
4363	ABCC1	8153
89845	ABCC10	8876
85320	ABCC11	8022
94160	ABCC12	9482
150000	ABCC13	5949
1244	ABCC2	7858
8714	ABCC3	13025
10257	ABCC4	9423
10057	ABCC5	12926
368	ABCC6	6577
653190	ABCC6P1	3420
730013	ABCC6P2	715
6833	ABCC8	11138
10060	ABCC9	12675
215	ABCD1	5260
225	ABCD2	6529
5825	ABCD3	12324
5826	ABCD4	11407
6059	ABCE1	7189
23	ABCF1	5011
10061	ABCF2	6442
55324	ABCF3	6071
9619	ABCG1	6926
9429	ABCG2	5571
64137	ABCG4	4259
64240	ABCG5	3608
64241	ABCG8	4221
84696	ABHD1	5269
55347	ABHD10	3192
83451	ABHD11	2728
26090	ABHD12	6055
145447	ABHD12B	5036
84945	ABHD13	5960
116236	ABHD15	5989
11057	ABHD2	10253
171586	ABHD3	6774
63874	ABHD4	4495
51099	ABHD5	12109
57406	ABHD6	5992
79575	ABHD8	3213
10006	ABI1	8201
10152	ABI2	8303
51225	ABI3	2408
25890	ABI3BP	12583
25	ABL1	11182
27	ABL2	13413
3983	ABLIM1	10372
84448	ABLIM2	10652
22885	ABLIM3	8014
28	ABO	6690
26	ABP1	4279
29	ABR	14384
137735	ABRA	2746
29777	ABT1	3648
80325	ABTB1	7670
25841	ABTB2	4994
30	ACAA1	7425
31	ACACA	16803
32	ACACB	11605
80724	ACAD10	9743
27034	ACAD8	7787
28976	ACAD9	9607
33	ACADL	4897
35	ACADS	2592
36	ACADSB	7076
37	ACADVL	6350
176	ACAN	11399
23527	ACAP2	17616
116983	ACAP3	8391
38	ACAT1	6258
39	ACAT2	3291
64746	ACBD3	6102
79777	ACBD4	4081
91452	ACBD5	4445
84320	ACBD6	4659
414149	ACBD7	5014
84680	ACCS	6964
390110	ACCSL	1867
65057	ACD	3297
59272	ACE2	4425
125981	ACER1	1453
340485	ACER2	4090
55331	ACER3	12081
43	ACHE	4533
22985	ACIN1	13067
47	ACLY	7415
130013	ACMSD	4309
57001	ACN9	2429
48	ACO1	10776
50	ACO2	5570
641371	ACOT1	1718
134526	ACOT12	2824
55856	ACOT13	5547
10965	ACOT2	3460
122970	ACOT4	2177
641372	ACOT6	1183
11332	ACOT7	6044
10005	ACOT8	5834
23597	ACOT9	5359
51	ACOX1	10999
8309	ACOX2	4430
8310	ACOX3	6119
55289	ACOXL	6772
52	ACP1	6929
53	ACP2	6817
54	ACP5	2919
51205	ACP6	6501
92370	ACPL2	8638
55	ACPP	5509
93650	ACPT	1347
49	ACR	1923
93953	ACRC	5654
56	ACRV1	2136
23205	ACSBG1	8831
81616	ACSBG2	3417
80221	ACSF2	8070
197322	ACSF3	12118
2180	ACSL1	11097
2181	ACSL3	9617
51703	ACSL5	6475
23305	ACSL6	12717
116285	ACSM1	2872
123876	ACSM2A	11419
348158	ACSM2B	6275
6296	ACSM3	8713
341392	ACSM4	3083
54988	ACSM5	3954
84532	ACSS1	19145
55902	ACSS2	7322
79611	ACSS3	10346
58	ACTA1	1490
59	ACTA2	17789
60	ACTB	4115
345651	ACTBL2	2795
644220	ACTBP11	694
62	ACTBP2	1800
64	ACTBP4	376
67	ACTBP7	475
68	ACTBP8	933
70	ACTC1	4639
71	ACTG1	3058
73	ACTG1P1	4828
414754	ACTG1P11	607
74	ACTG1P2	607
75	ACTG1P3	783
82	ACTG1P9	1131
72	ACTG2	7721
86	ACTL6A	4473
51412	ACTL6B	2656
10881	ACTL7A	1475
10880	ACTL7B	2382
81569	ACTL8	2011
284382	ACTL9	1381
87	ACTN1	15512
88	ACTN2	9674
89	ACTN3	3662
81	ACTN4	7203
55860	ACTR10	4597
10121	ACTR1A	4455
10120	ACTR1B	4079
10097	ACTR2	5054
10096	ACTR3	10726
57180	ACTR3B	2989
440888	ACTR3BP2	1338
399746	ACTR3BP5	1320
644773	ACTR3BP6	1320
653857	ACTR3C	8905
79913	ACTR5	3205
64431	ACTR6	4444
93973	ACTR8	5201
139741	ACTRT1	2018
140625	ACTRT2	1405
90	ACVR1	5111
91	ACVR1B	6169
130399	ACVR1C	9544
92	ACVR2A	8082
93	ACVR2B	15989
94	ACVRL1	5538
91703	ACY3	2135
97	ACYP1	5142
98	ACYP2	7382
100	ADA	4396
132612	ADAD1	2986
161931	ADAD2	6493
161823	ADAL	6113
102	ADAM10	10793
4185	ADAM11	4917
8038	ADAM12	16770
8751	ADAM15	7752
6868	ADAM17	7341
8749	ADAM18	3829
8728	ADAM19	10321
2515	ADAM2	2877
8748	ADAM20	2783
8747	ADAM21	2739
145241	ADAM21P1	2049
53616	ADAM22	8808
8745	ADAM23	10513
10863	ADAM28	8613
11086	ADAM29	6552
11085	ADAM30	2961
203102	ADAM32	10389
80332	ADAM33	8224
1587	ADAM3A	3716
8755	ADAM6	1842
8756	ADAM7	4410
101	ADAM8	4931
8754	ADAM9	7420
27299	ADAMDEC1	2448
9510	ADAMTS1	6988
81794	ADAMTS10	6971
81792	ADAMTS12	7128
140766	ADAMTS14	7746
170689	ADAMTS15	6006
170690	ADAMTS16	5867
170691	ADAMTS17	7938
170692	ADAMTS18	6908
171019	ADAMTS19	6235
9509	ADAMTS2	9757
80070	ADAMTS20	7182
9508	ADAMTS3	6616
9507	ADAMTS4	6009
11096	ADAMTS5	10133
11174	ADAMTS6	8615
11173	ADAMTS7	8542
11095	ADAMTS8	4556
56999	ADAMTS9	11321
92949	ADAMTSL1	8085
9719	ADAMTSL2	6709
57188	ADAMTSL3	10233
54507	ADAMTSL4	7631
339366	ADAMTSL5	3683
55803	ADAP2	4530
103	ADAR	10882
104	ADARB1	12799
105	ADARB2	14637
134637	ADAT2	10122
113451	ADC	6758
57143	ADCK1	5761
79934	ADCK4	6379
203054	ADCK5	3033
107	ADCY1	13721
55811	ADCY10	7363
108	ADCY2	17259
109	ADCY3	6935
111	ADCY5	9263
112	ADCY6	8783
113	ADCY7	10525
114	ADCY8	6099
115	ADCY9	10846
116	ADCYAP1	4763
117	ADCYAP1R1	7066
118	ADD1	21133
119	ADD2	12664
120	ADD3	10817
125	ADH1B	9868
127	ADH4	3786
128	ADH5	5294
642443	ADH5P4	203
130	ADH6	4105
131	ADH7	3814
55256	ADI1	5011
149685	ADIG	1038
9370	ADIPOQ	4633
51094	ADIPOR1	3534
79602	ADIPOR2	6754
133	ADM	2722
79924	ADM2	4276
23394	ADNP	9891
