entrezgene	hgnc_symbol	ensembl_gene_id	chromosome_name	band	geneLength	gcContent
441457	NUTM2G	ENSG00000188152	9	q22.33	5249	0.611067235179459
100422952	MIR4271	ENSG00000264633	3	p21.31	67	0.507462686567164
84075	FSCB	ENSG00000189139	14	q21.2	3146	0.452956134774317
26771	SNORD102	ENSG00000207500	13	q12.2	72	0.361111111111111
100616351	MIR4670	ENSG00000264158	9	q22.31	75	0.453333333333333
138724	C9orf131	ENSG00000174038	9	p13.3	3443	0.50705721936958
26805	SNORD45A	ENSG00000207241	1	p31.1	84	0.357142857142857
677824	SNORA17B	ENSG00000280496	9	q34.3	134	0.544776119402985
5504	PPP1R2	ENSG00000184203	3	q29	4530	0.462775169449654
4751	NEK2	ENSG00000117650	1	q32.3	3274	0.425890513616409
56910	STARD7	ENSG00000084090	2	q11.2	3424	0.485960752672587
51567	TDP2	ENSG00000111802	6	p22.3	2144	0.439031266006637
9302	SNORD26	ENSG00000276788	11	q12.3	75	0.4
574409	MIR329-2	ENSG00000207762	14	q32.31	84	0.416666666666667
100033441	SNORD115-4	ENSG00000200680	15	q11.2	82	0.414634146341463
100422947	MIR3122	ENSG00000264358	1	q32.3	73	0.506849315068493
406961	MIR185	ENSG00000208023	22	q11.21	82	0.634146341463415
152559	PAQR3	ENSG00000163291	4	q21.21	4778	0.429500431540927
100616110	MIR2681	ENSG00000265164	13	q33.1	105	0.457142857142857
100616214	MIR4667	ENSG00000263892	9	p13.3	66	0.560606060606061
100616395	MIR4789	ENSG00000264974	3	q26.31	82	0.378048780487805
693159	MIR574	ENSG00000207944	4	p14	96	0.65625
100616354	MIR550A3	ENSG00000212024	7	p14.3	95	0.505263157894737
100302149	MIR1249	ENSG00000221598	22	q13.31	66	0.651515151515151
388536	ZNF790	ENSG00000197863	19	q13.12	2853	0.513199850532854
390037	OR52I1	ENSG00000232268	11	p15.4	975	0.501538461538462
390882	OR7G2	ENSG00000170923	19	p13.2	1038	0.471098265895954
767612	SNORD114-31	ENSG00000200089	14	q32.31	74	0.513513513513514
100422908	MIR3129	ENSG00000264725	2	q32.2	76	0.434210526315789
55825	PECR	ENSG00000115425	2	q35	2034	0.485229631931464
692106	SNORD65	ENSG00000277512	17	p11.2	73	0.397260273972603
55254	TMEM39A	ENSG00000176142	3	q13.33	5018	0.46896883102629
79891	ZNF671	ENSG00000083814	19	q13.43	2472	0.504504747713587
100616159	MIR4779	ENSG00000265420	2	p11.2	83	0.36144578313253
574508	MIR505	ENSG00000207633	X	q27.1	84	0.523809523809524
